"file_name"	"h"	"Ne"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_50.tsv.gz"	"0.29"	"50"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_100.tsv.gz"	"0.1"	"100"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_250.tsv.gz"	"0.0589999999999999"	"250"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_500.tsv.gz"	"0.029"	"500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_1000.tsv.gz"	"0.01"	"1000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_1500.tsv.gz"	"0.0098"	"1500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_2000.tsv.gz"	"0.007"	"2000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_2500.tsv.gz"	"0.00589999999999999"	"2500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_3000.tsv.gz"	"0.0049"	"3000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_3500.tsv.gz"	"0.004"	"3500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_4000.tsv.gz"	"0.003687"	"4000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_5000.tsv.gz"	"0.0029"	"5000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_4/SA501_dropped_one_sc_dlp_4_clones_Ne_10000.tsv.gz"	"0.001"	"10000"
